"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating"
134.501,2021,5,24,0,8.125,13.938,6.75,74.25,25.438,6
129.75,2021,6,8,5,14.75,15.625,7.75,64.875,20.5,6.25
328.688,2021,6,18,19,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,16,18,84.875,22.75,14.938,0,200.125,6
119.5,2021,5,30,6,5.25,11.5,4.875,74.5,17.875,5.5
296.501,2021,6,1,15,60.125,28.313,38.375,139.188,21,9.5
165.751,2021,6,10,0,54.25,12.563,7.563,62.25,23.375,5.75
128.501,2021,5,30,22,6.25,11.875,4.188,80.438,20.25,5.5
136.001,2021,5,25,0,8.875,11.938,8,72.688,29.5,5
328.688,2021,6,15,1,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,15,20,84.875,22.75,14.938,0,200.125,6
127.251,2021,5,28,1,13,9.438,4.375,78.438,15.75,6.25
328.688,2021,6,14,23,84.875,22.75,14.938,0,200.125,6
215.75,2021,6,1,22,125.25,14.375,11.625,12.5,45.75,6.25
359.501,2021,5,25,20,115.25,29.125,29.313,48.188,30.625,107
119.001,2021,6,5,1,41.5,8.688,2.75,42.438,18.625,5
328.688,2021,6,18,3,84.875,22.75,14.938,0,200.125,6
270.063,2021,6,11,13,67.625,20.875,20,0,158.063,3.5
328.688,2021,6,14,12,84.875,22.75,14.938,0,200.125,6
213.25,2021,5,21,19,27.25,22.125,27.875,77.625,10.125,48.25
328.688,2021,6,16,7,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,17,13,84.875,22.75,14.938,0,200.125,6
328.688,2021,6,14,20,84.875,22.75,14.938,0,200.125,6
6.813,2021,5,28,2,1.625,0.813,4.375,0,0,0
43.501,2021,6,12,22,3.5,8.813,4.188,2.875,20.125,4
33.001,2021,6,12,19,3.875,10.688,2.563,0.625,11.25,4
126.751,2021,6,6,2,4,13.125,5.75,81.813,17.313,4.75
116.751,2021,5,29,18,3.375,11.313,8.125,62.563,25.625,5.75
35.126,2021,5,21,17,2.25,13.813,11.063,0,4.5,3.5
328.688,2021,6,18,10,84.875,22.75,14.938,0,200.125,6
124.001,2021,5,23,0,7.125,13.438,8.125,71,18.313,6
328.688,2021,6,16,5,84.875,22.75,14.938,0,200.125,6
9.188,2021,6,4,11,2.5,2.813,3.875,0,0,0
328.688,2021,6,20,7,84.875,22.75,14.938,0,200.125,6
267.001,2021,5,27,19,75.375,22.188,29.625,103.25,22.063,14.5
189.751,2021,6,8,22,41.125,16.563,8.313,99.5,18,6.25
328.688,2021,6,20,5,84.875,22.75,14.938,0,200.125,6
174.25,2021,6,1,0,44.25,27.625,8.5,64,24.625,5.25
241.251,2021,6,8,19,64.125,23.813,28.813,103.125,15.625,5.75
115.375,2021,6,12,2,5.75,15.625,6.5,0,81.5,6
273.751,2021,6,10,15,129.875,26.563,36.563,37.75,34.25,8.75
123.001,2021,6,3,1,17,10.563,5,65.625,18.813,6
552.439,2021,6,4,17,134.875,25.938,30.938,0,354.688,6
145.751,2021,5,24,10,7.5,13.563,12,85.313,21.125,6.25
140.501,2021,6,5,9,5.625,12.563,5.125,82.063,29.125,6
328.688,2021,6,19,0,84.875,22.75,14.938,0,200.125,6
284.501,2021,5,25,14,107.75,31.625,42.563,73.813,20.75,8
328.688,2021,6,15,7,84.875,22.75,14.938,0,200.125,6
157.001,2021,5,31,7,18.5,9.438,5.563,96.25,21.25,6
297.001,2021,5,25,13,88.25,29.125,42.563,102.188,27.375,7.5
190.001,2021,6,7,23,97,16.438,7.438,44.25,18.375,6.5
115.001,2021,5,23,15,9,20.563,8.375,52.563,18.5,6
124.251,2021,5,24,1,5.375,9.5,7.438,79.125,16.563,6.25
135.001,2021,5,24,13,6.75,14.5,13.438,78,16.313,6
123.751,2021,5,25,2,8,13.25,8.313,71.438,17,5.75
293.251,2021,5,31,12,26.25,43.813,35.75,162.063,16.625,8.75
124.5,2021,6,9,5,6.25,13.25,5.125,68.75,25.125,6
33.251,2021,6,12,16,3.25,8.688,4,1.563,11.5,4.25
126.501,2021,6,6,5,6.25,13.438,7.75,71.188,21.875,6
223.001,2021,6,8,9,59.75,14.313,13.125,109.813,20,6
135.751,2021,6,9,3,10.125,13.813,4.375,77.063,24.625,5.75
279.251,2021,6,1,18,69.875,24.438,37.375,104.75,36.563,6.25
119.001,2021,5,22,18,8.75,14.563,7,63.813,18.875,6
289.501,2021,5,25,16,83.875,29.563,37.563,98.875,32.125,7.5
136.75,2021,5,22,2,9.625,14,9,79.75,18.125,6.25
246.188,2021,6,12,0,46.5,14.625,6,0,173.313,5.75
21.813,2021,5,22,23,1.375,4.688,4,0,8.25,3.5
134.501,2021,5,23,10,6.5,15.063,7.063,75.25,24.625,6
